" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
,"09163 HONTORIA DEL PINAR",         353,    22091.33,     1040.09,     3053.51,        1.61,     5508.93,    3432.453,         384,           6,         219, 1269308.042,
,"09164 HONTORIA DE VALDEARADOS",         264,    10260.38,     5685.88,     8175.59,      127.48,     8369.09,    3085.584,         344,          15,         175, 2158126.838,
,"09166 HORMAZAS (LAS)",          91,     9629.49,     3193.03,     5706.39,       26.23,     7717.76,     689.824,         112,           5,         100, 1156574.008,
,"09167 HORNILLOS DEL CAMINO",          75,     3713.08,     2271.94,     3576.18,       15.51,     3621.11,       270.6,          75,           8,          85,  801586.262,
,"09168 HORRA (LA)",         436,     9616.91,     4001.63,      6339.2,       27.84,     6958.37,     195.281,         539,          12,         162, 1957114.839,
,"09169 HORTIGÜELA",         129,     5140.98,       268.4,      454.83,           1,      467.83,       334.5,         133,           2,           9,  191079.656,
,"09170 HOYALES DE ROA",         181,     2040.02,     1195.44,      695.76,     1092.08,     1802.74,     141.211,         212,           .,         158,  969098.587,
,"09172 HUERMECES",          89,    12603.99,     3638.35,      6259.9,        9.39,     7849.06,     579.794,          96,           8,          60, 1209474.593,
,"09173 HUERTA DE ARRIBA",         162,     6304.76,        4.48,      173.76,        0.06,     1166.45,     907.968,         147,           1,           5,  164533.841,
,"09174 HUERTA DE REY",         396,    23064.96,     7895.64,    12155.78,      257.64,    12983.88,     7355.35,         394,           8,         320,  3509859.96,
,"09175 HUMADA",         214,    22369.41,     4714.85,     8713.63,       86.31,     15763.2,     1827.42,         202,          11,         200, 1952754.468,
,"09176 HURONES",          34,     2112.28,     1142.73,     1840.77,        1.12,     1932.89,     1953.15,          26,           6,          41,  493103.736,
,"09177 IBEAS DE JUARROS",         250,    30821.35,     8907.81,    14796.22,      179.32,    20039.68,    2751.943,         269,          26,         249, 3356078.561,
,"09178 IBRILLOS",          78,     1758.95,      948.36,     1559.54,       40.31,      1619.2,     973.274,          78,           6,          49,  614688.736,
,"09179 IGLESIARRUBIA",          60,     3387.37,     2258.32,     2989.37,        1.81,     2994.75,     195.626,          65,           1,          43,  688045.276,
,"09180 IGLESIAS",          93,     9087.27,     5115.29,     8083.31,       34.86,     8127.08,   21142.996,         100,          12,          94, 2156327.719,
,"09181 ISAR",         233,    14416.22,     8177.31,     12847.4,       36.47,    13637.44,    1928.271,         230,           6,         218, 2983108.446,
,"09182 ITERO DEL CASTILLO",          86,     4725.82,     2959.73,     4199.14,      275.27,     4473.41,      424.66,          85,           2,          71, 1126793.187,
,"09183 JARAMILLO DE LA FUENTE",          24,     8844.09,           8,     1669.21,        0.05,     3988.92,     477.448,          20,           3,           4,  166988.964,
,"09184 JARAMILLO QUEMADO",          13,     4027.69,      324.97,     1069.35,        0.02,     2622.44,          67,          12,           1,           7,  120388.051,
,"09189 JUNTA DE TRASLALOMA",         191,    14260.07,      2905.8,      4508.6,        6.76,     5900.29,     1660.47,         195,          10,         208, 1512596.718,
,"09190 JUNTA DE VILLALBA DE LOSA",          73,    11733.09,     1575.97,     2750.83,        5.66,     3467.23,    2229.172,          87,          10,          69,  944918.505,
,"09191 JURISDICCION DE LARA",          83,     6123.52,     1696.14,     2977.39,        0.25,     3203.26,     612.395,          73,           4,          38,  607104.709,
,"09192 JURISDICCION DE SAN ZADORNIL",          34,     8484.61,       282.1,     3135.76,        1.28,     6097.36,     360.408,          27,           3,          23,  152532.792,
,"09194 LERMA",         624,     26925.3,    12841.01,    21171.71,       317.9,    21581.93,   20553.668,         568,          52,         350, 9153291.983,
,"09195 LLANO DE BUREBA",          65,     5142.44,     2735.68,     3942.98,      313.22,     4630.28,     354.272,          50,          14,          63,  827758.326,
,"09196 MADRIGAL DEL MONTE",         148,     7938.72,     3700.31,        5696,       19.39,     5776.72,     532.955,         128,           1,         120, 1283158.362,
,"09197 MADRIGALEJO DEL MONTE",          77,     5082.26,     2832.35,     4449.07,       22.41,     4536.21,      599.25,          76,           7,          91, 1017833.787,
,"09198 MAHAMUD",         140,     7907.16,     4907.34,     7512.27,       70.67,     7694.45,     985.031,         136,           5,          79, 1621486.714,
,"09199 MAMBRILLA DE CASTREJON",         135,     3801.64,     2473.41,     2872.72,      314.74,     3287.88,     232.692,         178,           6,         102, 1132443.346,
,"09200 MAMBRILLAS DE LARA",         105,     7595.78,     1690.68,     2970.22,        2.48,      3055.1,     422.678,          99,           5,          31,  570351.321,
,"09201 MAMOLAR",          57,     4501.99,       98.98,      410.77,        0.06,     1028.55,      54.768,          56,           1,           5,  136541.182,
,"09202 MANCILES",          32,     1806.25,     1195.61,     1742.71,        0.12,     1748.88,      60.598,          42,           .,          52,  385187.214,
,"09206 MAZUELA",          66,     2993.32,     1943.34,     2750.11,        6.09,     2839.43,     483.768,          67,           .,          46,  722178.778,
,"09208 MECERREYES",         153,    14819.28,      3319.1,     6574.12,         5.5,     7348.81,    2605.344,         163,           7,          60, 1368083.898,
,"09209 MEDINA DE POMAR",         800,    54852.25,    12453.09,    21659.52,      617.87,    32387.22,    9022.999,         930,          67,         736, 7120422.504,
,"09211 MELGAR DE FERNAMENTAL",         458,    24886.42,    14195.97,    19996.97,      2400.7,    22542.98,   13211.395,         452,          20,         486, 5947256.874,
,"09213 MERINDAD DE CUESTA-URRIA",         435,    26599.89,     8739.01,    15397.58,      311.86,    18731.67,    2094.099,         462,          27,         445, 3526036.714,
,"09214 MERINDAD DE MONTIJA",         558,    19594.77,     2400.54,      5217.3,       27.03,    11438.75,    8270.242,         673,          26,         689, 3597924.848,
,"09215 MERINDAD DE SOTOSCUEVA",         592,    44081.99,     1016.62,    12603.81,        8.14,    31344.12,    6444.623,         635,          38,         389, 2414440.213,
,"09216 MERINDAD DE VALDEPORRES",         283,    27506.59,      136.04,     3434.34,        7.68,    15166.55,    2381.516,         294,          23,          86,   981784.08,
,"09217 MERINDAD DE VALDIVIELSO",         345,       28542,     3100.92,     4699.56,      163.69,    11880.44,    1568.615,         384,          21,         269, 1675898.949,
,"09218 MILAGROS",         248,     5791.52,     3224.63,     3713.26,       690.6,     4429.36,    5259.354,         366,          37,         165, 2140197.631,
,"09219 MIRANDA DE EBRO",         541,    21683.83,     10382.3,    14963.54,      803.48,    16057.87,    2610.248,         570,          19,         581,  5077645.83,
,"09220 MIRAVECHE",         108,     4617.94,     1932.54,     2947.97,        0.91,     3708.06,     220.282,         109,           2,          57,  722290.216,
,"09221 MODUBAR DE LA EMPAREDADA",          56,      2053.4,      969.16,     1443.72,       11.82,     1698.37,     412.963,          53,           1,          50,  402829.007,
,"09223 MONASTERIO DE LA SIERRA",          65,     5141.66,        0.05,      769.98,        0.07,     1444.54,     639.132,          58,           1,          15,  176031.299,
,"09224 MONASTERIO DE RODILLA",          89,     8095.28,     2454.47,     4078.01,        1.97,      6851.1,     847.188,          91,           2,          60, 1047868.745,
,"09225 MONCALVILLO",         137,     5637.08,       10.79,      813.75,        9.83,     3770.43,     639.344,         156,           2,          23,  286988.971,
,"09226 MONTERRUBIO DE LA DEMANDA",          64,     3794.79,      471.38,      623.93,        0.26,      912.96,       270.1,          69,           1,          33,  165750.624,
,"09227 MONTORIO",          62,     5948.93,     2344.26,     3385.42,      166.24,     4565.03,     356.111,          71,           8,          59,    739795.5,
,"09228 MORADILLO DE ROA",         144,     5315.92,     2952.44,     4616.48,       58.86,      4764.5,      623.31,         177,           9,          91, 1063504.794,
,"09229 NAVA DE ROA",         234,     5115.89,      2587.5,     2918.39,     1064.21,      4001.2,     562.053,         405,           2,         193, 1451677.615,
,"09230 NAVAS DE BUREBA",          37,     2742.54,     1071.19,     1930.49,        0.31,     2056.67,     110.872,          35,           1,          38,  327411.744,
,"09231 NEBREDA",         122,     7016.45,     2922.69,     4652.69,      213.25,     5070.01,    2915.563,         163,           4,          90, 1407594.655,
,"09232 NEILA",         212,    17619.82,        3.03,     1312.57,        2.05,     9118.99,      1425.8,         230,           2,          41,  1050671.31,
,"09235 OLMEDILLO DE ROA",         232,     5187.36,     2854.45,     4765.03,       17.79,     4782.94,     392.077,         232,           1,         102, 1164879.692,
,"09236 OLMILLOS DE MUÑO",          56,     2205.75,     1431.22,     2113.05,        7.16,     2149.58,     291.272,          54,           1,          49,  514120.438,
,"09238 OÑA",         572,    40625.45,     5843.56,    15632.84,       81.19,    20097.35,    3469.795,         489,          54,         288, 2194400.694,
,"09239 OQUILLAS",          63,     2968.15,     1759.04,     2531.72,        0.71,     2657.43,    1803.476,          63,          10,          42, 1004366.824,
,"09241 ORBANEJA RIOPICO",          61,     2708.66,      1553.2,     2221.55,        0.46,     2357.94,     408.476,          59,           1,          73,  504082.249,
,"09242 PADILLA DE ABAJO",          58,      7235.8,     4980.92,      7107.8,        4.63,     7122.43,     990.366,          51,          15,          86, 1617481.657,
,"09243 PADILLA DE ARRIBA",          93,     6253.97,     3949.01,     6066.51,       43.26,     6126.75,     737.217,          89,           .,          92, 1101916.499,
,"09244 PADRONES DE BUREBA",         104,     3695.72,       86.98,      100.17,       35.14,      541.31,       584.4,         133,           1,          50,   82523.245,
,"09246 PALACIOS DE LA SIERRA",         469,    20497.91,        4.15,     2833.45,        2.35,     7127.67,     5974.79,         424,          10,          45, 1623372.452,
,"09247 PALACIOS DE RIOPISUERGA",          34,      1624.9,     1058.51,     1254.95,      186.67,     1441.62,          38,          26,           1,          44,  393926.856,
,"09248 PALAZUELOS DE LA SIERRA",          52,     3420.31,        38.4,      294.01,        5.16,      884.26,       652.4,          52,           2,          12,  176195.071,
,"09249 PALAZUELOS DE MUÑO",          66,     2406.02,     1628.01,     2095.99,      170.51,     2270.73,     379.304,          58,           3,          50,  757470.837,
,"09250 PAMPLIEGA",          98,     5769.12,     2710.59,     3428.94,      433.33,     4025.72,     690.408,          77,          22,          63,  1278469.43,
,"09251 PANCORBO",          98,    13434.02,      3261.1,     4957.69,       18.04,     5985.89,     326.803,         107,           2,         121, 1288629.179,
,"09253 PARDILLA",         106,     2804.14,     1290.99,      2158.7,        3.46,     2235.26,     280.229,         133,           4,          43,   456858.34,
,"09255 PARTIDO DE LA SIERRA EN TOBALINA",          77,     8390.19,     1422.68,     2891.33,       23.15,     4656.75,     999.932,          74,           7,          68,  542696.695,
,"09256 PEDROSA DE DUERO",         630,    17846.84,    10808.09,    16399.78,      242.71,    16964.89,    1602.292,         679,          19,         393, 4469652.442,
,"09257 PEDROSA DEL PARAMO",          72,     4407.23,     2802.13,     4320.17,        3.83,     4345.98,     445.816,          81,           .,         102,  964445.817,
,"09258 PEDROSA DEL PRINCIPE",         151,     6103.09,     3621.81,     4143.49,     1294.74,      5499.9,    1310.972,         150,           6,         143, 1848199.159,
,"09259 PEDROSA DE RIO URBEL",         167,     12666.1,     7047.36,    11346.55,      128.12,    11816.45,     624.573,         160,          18,         190, 2331559.358,
,"09261 PEÑARANDA DE DUERO",         558,    12488.42,     5067.02,     8097.24,       264.3,     8671.45,     1426.38,         724,           2,         288, 1886556.415,
